Mortalidade Geral
Óbitos Ocorridos MSP por Mês do Óbito e Causas específicas
Período:2017
"Mês do Óbito";"Doencas infec intest";"Tuberculose";"Infec menigocóccica";"Septicemia";"Aids";"Hepatites virais";"CA esôfago";"CA estômago";"CA colon";"CA reto, JRS, ânus";"CA fígado";"CA pâncreas";"CA laringe";"CA pulmão";"CA mama";"CA ovário";"CA colo de utero";"CA útero porção n/esp";"CA próstata";"CA encéfalo";"Leucemias";"Linfomas";"Anemias";"Diabetes mellitus";"Desnutrição";"Obesidade";"Alcoolismo";"Meningites";"D. Alzheimer";"Demência";"D. reumática crônica coração";"D. hipertensivas";"Doenças isquêmicas coração";"D. circulacao pulmonar";"Miocardiopatias";"Insuficiencia cardiaca";"D. cerebrovasculares";"Aneurisma e dissecção aorta";"Pneumonias";"Bronquite, enfisema, asma";"Outras doenças pulmão";"Úlcera estômago e duodeno";"Doença alcoólica do fígado";"Fibrose e cirrose hepática (exceto alcóol.)";"Insuficiência renal";"Infecção do trato urinário n/ espec";"Gravidez, parto e puerpério";"Feto/RN afet fat matern e compl grav,parto";"Hipóxia intra-uterina/asfixia nascer";"D. membrana hialina";"Outras afec. respiratórias RN";"Infecções espec. periodo perinatal";"Demais causas perinatais";"Anom congenitas sist nervoso";"Anom congenitas coracao e circ";"Anom congenitas ap digestivo";"Demais anomalias congênitas";"Mal definidas";"Acid trânsito e transporte terrestres";"Quedas acidentais";"Demais acidentes";"Suicídios";"Homicídios";"Lesões intenc indeterminada";"Demais causas externas";"Demais causas de morte";"Total"
"Janeiro";30;28;-;42;64;29;47;122;116;59;76;115;30;201;147;50;32;16;86;61;61;49;13;230;5;16;15;8;145;79;18;137;810;60;88;85;513;95;407;236;24;23;50;53;38;139;11;39;5;9;13;17;26;8;28;5;34;39;63;92;118;49;81;45;33;1335;6798
"Fevereiro";17;50;3;40;65;24;45;103;138;64;88;93;21;161;134;47;37;10;68;59;54;61;13;198;9;12;14;5;133;85;9;147;826;49;61;99;448;76;403;228;24;16;68;48;25;151;11;28;9;8;10;16;20;6;34;4;22;51;69;104;96;48;101;44;37;1260;6507
"Março";37;29;1;58;58;21;45;112;132;52;66;117;27;230;163;42;29;15;87;52;61;64;10;212;9;11;13;4;157;66;20;145;846;54;75;103;473;94;417;176;21;24;70;49;33;136;12;37;5;7;12;20;20;3;35;4;26;36;96;108;114;46;86;42;35;1325;6785
"Abril";28;36;1;61;58;23;41;88;136;70;86;104;34;210;137;44;32;16;67;47;71;40;12;209;5;7;13;12;142;70;14;178;849;63;73;96;519;125;463;245;28;23;67;46;31;134;14;30;8;5;12;20;26;8;32;4;38;42;86;80;97;49;98;51;48;1325;6927
"Maio";31;43;2;57;63;19;48;110;114;70;86;103;40;194;146;36;28;12;76;54;61;52;8;209;9;17;7;20;123;66;10;201;945;62;99;131;540;112;550;289;18;30;64;49;44;159;5;43;7;3;7;17;26;8;34;11;19;37;88;110;112;42;67;45;35;1448;7371
"Junho";26;43;2;55;65;18;40;97;144;70;79;92;24;210;133;48;38;16;80;54;46;57;9;213;7;12;12;14;153;81;12;224;1026;54;149;112;503;106;487;247;18;29;63;45;44;149;11;27;7;5;12;20;27;9;20;4;21;61;83;95;99;41;69;61;28;1420;7326
"Julho";32;45;3;67;76;24;46;98;146;65;66;90;25;203;179;38;36;12;99;55;65;50;11;240;14;9;15;14;169;109;10;237;1068;57;136;166;551;128;596;314;31;35;70;62;37;148;12;43;9;2;10;14;25;16;41;3;27;55;83;110;111;47;64;55;31;1451;7956
"Agosto";17;36;6;63;53;24;43;105;116;78;64;107;29;175;151;26;40;11;90;37;41;46;7;217;10;16;10;20;152;85;10;251;940;92;106;130;567;111;537;259;30;27;68;48;66;166;12;49;7;4;9;12;22;5;39;4;39;69;60;92;118;51;58;67;20;1407;7427
"Setembro";27;27;-;60;55;24;47;100;122;70;52;94;37;182;154;41;35;13;85;60;58;49;11;222;10;9;12;17;143;99;17;213;838;88;82;121;536;98;557;235;26;33;54;51;49;133;8;27;5;16;3;17;18;6;25;2;30;56;67;99;119;52;62;45;39;1401;7143
"Outubro";28;35;2;50;60;26;44;93;138;59;71;108;24;207;122;44;31;14;83;49;59;52;6;245;10;10;8;7;155;76;9;167;797;97;94;131;498;100;556;248;20;31;59;42;44;141;7;34;6;6;6;8;23;2;35;5;38;41;69;82;120;56;74;68;34;1338;7002
"Novembro";21;29;1;48;58;28;38;93;134;72;74;89;28;207;147;36;30;9;59;53;56;54;11;216;10;12;8;9;146;75;13;160;776;126;77;110;461;108;526;234;15;34;40;45;47;142;7;37;8;3;13;21;28;5;38;6;26;42;61;86;108;47;100;58;22;1347;6828
"Dezembro";29;30;1;67;73;21;42;108;127;81;65;94;22;212;171;34;39;15;69;57;44;57;11;228;11;16;11;7;146;78;15;190;783;116;69;108;511;82;551;237;20;39;61;33;45;158;11;43;12;9;21;18;36;7;25;-;22;78;82;98;127;47;91;61;38;1406;7216
"Total";323;431;22;668;748;281;526;1229;1563;810;873;1206;341;2392;1784;486;407;159;949;638;677;631;122;2639;109;147;138;137;1764;969;157;2250;10504;918;1109;1392;6120;1235;6050;2948;275;344;734;571;503;1756;121;437;88;77;128;200;297;83;386;52;342;607;907;1156;1339;575;951;642;400;16463;85286
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. Os coeficientes de mortalidade podem ser tabuladas por Distrito Administrativo e seus agregados (Supervisão de Saúde e Região), faixa etária e sexo.
3. Os coeficientes de mortalidade por homicídio, aids, tuberculose e acidentes de trânsito foram calculados por 100.000 habitantes. 
4. A partir de 2005, os óbitos por acidentes de trânsito foram qualificados com o apoio da Companhia de Engenharia de Tráfego – CET.
