Mortalidade Geral
Óbitos Ocorridos MSP por Mês do Óbito e Causas específicas
Período:2015
"Mês do Óbito";"Doencas infec intest";"Tuberculose";"Infec menigocóccica";"Septicemia";"Aids";"Hepatites virais";"CA esôfago";"CA estômago";"CA colon";"CA reto, JRS, ânus";"CA fígado";"CA pâncreas";"CA laringe";"CA pulmão";"CA mama";"CA ovário";"CA colo de utero";"CA útero porção n/esp";"CA próstata";"CA encéfalo";"Leucemias";"Linfomas";"Anemias";"Diabetes mellitus";"Desnutrição";"Obesidade";"Alcoolismo";"Meningites";"D. Alzheimer";"Demência";"D. reumática crônica coração";"D. hipertensivas";"Doenças isquêmicas coração";"D. circulacao pulmonar";"Miocardiopatias";"Insuficiencia cardiaca";"D. cerebrovasculares";"Aneurisma e dissecção aorta";"Pneumonias";"Bronquite, enfisema, asma";"Outras doenças pulmão";"Úlcera estômago e duodeno";"Doença alcoólica do fígado";"Fibrose e cirrose hepática (exceto alcóol.)";"Insuficiência renal";"Infecção do trato urinário n/ espec";"Gravidez, parto e puerpério";"Feto/RN afet fat matern e compl grav,parto";"Hipóxia intra-uterina/asfixia nascer";"D. membrana hialina";"Outras afec. respiratórias RN";"Infecções espec. periodo perinatal";"Demais causas perinatais";"Anom congenitas sist nervoso";"Anom congenitas coracao e circ";"Anom congenitas ap digestivo";"Demais anomalias congênitas";"Mal definidas";"Acid trânsito e transporte terrestres";"Quedas acidentais";"Demais acidentes";"Suicídios";"Homicídios";"Lesões intenc indeterminada";"Demais causas externas";"Demais causas de morte";"Total"
"Janeiro";29;27;-;53;72;23;46;110;118;53;61;102;28;167;143;29;30;8;70;43;60;44;11;176;12;9;25;13;139;89;8;167;782;136;82;106;530;57;517;212;27;12;54;48;40;165;11;46;5;8;10;12;25;2;29;9;21;53;78;101;81;58;148;30;52;1321;6833
"Fevereiro";23;36;2;32;76;25;39;96;109;54;68;90;28;182;134;32;23;12;57;33;61;49;9;172;6;17;7;5;109;57;16;159;661;115;89;79;429;82;412;174;36;14;54;47;36;115;12;46;4;4;10;12;21;14;36;1;27;54;91;82;78;39;130;28;34;1054;5938
"Março";22;27;1;41;60;36;44;127;96;75;88;77;34;225;144;38;34;15;87;49;77;52;15;214;8;18;13;15;121;71;18;173;786;122;94;91;450;99;517;229;30;22;53;45;30;126;9;56;8;10;8;12;25;14;25;11;46;67;100;96;80;52;158;33;33;1290;6942
"Abril";20;28;2;49;65;39;55;111;114;64;70;88;25;203;123;30;39;13;83;56;64;42;15;230;13;19;18;12;145;90;27;177;825;149;93;91;539;112;565;269;34;26;54;52;37;120;11;41;6;7;10;10;25;8;33;4;48;41;100;109;86;47;121;28;38;1390;7258
"Maio";29;31;4;45;67;23;42;110;130;56;68;96;41;210;160;35;32;15;84;64;75;43;17;256;12;14;15;13;177;87;36;218;967;141;116;127;573;144;722;339;39;22;59;76;64;153;3;51;3;8;7;6;24;14;39;7;34;70;114;118;75;52;128;28;31;1447;8106
"Junho";27;27;2;45;75;41;50;108;124;52;70;97;22;179;153;33;31;10;80;41;65;56;18;242;10;16;12;8;157;65;26;180;966;152;112;154;565;112;711;290;43;28;66;53;55;111;8;43;8;9;8;13;21;9;37;5;27;55;92;93;73;36;104;27;35;1358;7601
"Julho";12;31;-;45;73;31;51;103;117;66;73;90;26;199;162;54;23;9;73;53;68;54;12;224;14;17;8;18;169;69;20;195;956;139;104;144;536;112;656;288;52;41;51;59;55;136;10;57;1;11;9;4;26;11;30;4;40;42;89;104;91;36;90;42;37;1368;7590
"Agosto";18;32;-;43;83;30;62;115;111;67;66;102;35;226;158;35;30;13;70;53;53;59;13;229;10;19;11;17;158;71;26;172;798;110;98;110;509;130;565;266;25;23;53;43;47;122;9;46;3;6;2;18;28;8;35;4;39;49;89;103;75;41;83;46;30;1352;7152
"Setembro";18;30;1;44;72;34;34;131;135;56;64;80;23;178;152;40;24;11;81;54;48;41;8;218;3;17;11;12;154;58;12;179;797;118;106;116;488;84;500;251;42;16;55;38;40;161;13;46;6;10;6;14;19;12;36;4;33;50;76;86;100;41;98;38;35;1358;6916
"Outubro";23;38;2;56;59;41;37;92;118;50;89;103;26;199;141;44;19;13;72;57;56;52;10;207;5;7;16;11;133;63;22;136;743;125;89;101;478;85;474;219;42;23;53;52;39;133;8;41;3;10;6;9;25;13;32;3;36;95;78;82;98;55;97;41;29;1262;6676
