Mortalidade Geral
Óbitos Residentes MSP por Mês do Óbito e Causas específicas
Período:2013
"Mês do Óbito";"Doencas infec intest";"Tuberculose";"Infec menigocóccica";"Septicemia";"Aids";"Hepatites virais";"CA esôfago";"CA estômago";"CA colon";"CA reto, JRS, ânus";"CA fígado";"CA pâncreas";"CA laringe";"CA pulmão";"CA mama";"CA ovário";"CA colo de utero";"CA útero porção n/esp";"CA próstata";"CA encéfalo";"Leucemias";"Linfomas";"Anemias";"Diabetes mellitus";"Desnutrição";"Obesidade";"Alcoolismo";"Meningites";"D. Alzheimer";"Demência";"D. reumática crônica coração";"D. hipertensivas";"Doenças isquêmicas coração";"D. circulacao pulmonar";"Miocardiopatias";"Insuficiencia cardiaca";"D. cerebrovasculares";"Aneurisma e dissecção aorta";"Pneumonias";"Bronquite, enfisema, asma";"Outras doenças pulmão";"Úlcera estômago e duodeno";"Doença alcoólica do fígado";"Fibrose e cirrose hepática (exceto alcóol.)";"Insuficiência renal";"Infecção do trato urinário n/ espec";"Gravidez, parto e puerpério";"Feto/RN afet fat matern e compl grav,parto";"Hipóxia intra-uterina/asfixia nascer";"D. membrana hialina";"Outras afec. respiratórias RN";"Infecções espec. periodo perinatal";"Demais causas perinatais";"Anom congenitas sist nervoso";"Anom congenitas coracao e circ";"Anom congenitas ap digestivo";"Demais anomalias congênitas";"Mal definidas";"Acid trânsito e transporte terrestres";"Quedas acidentais";"Demais acidentes";"Suicídios";"Homicídios";"Lesões intenc indeterminada";"Demais causas externas";"Demais causas de morte";"Total"
"Janeiro";17;28;3;32;72;26;32;98;83;39;34;53;21;169;107;22;19;11;49;41;34;25;15;184;12;14;17;9;99;65;11;165;644;116;71;79;467;84;320;209;28;21;50;46;39;85;6;17;8;14;12;21;19;5;13;3;15;63;101;78;76;53;142;54;23;994;5582
"Fevereiro";8;23;2;33;53;20;36;81;97;42;62;59;22;153;101;22;19;9;60;40;34;32;11;154;10;8;14;11;92;39;9;125;616;84;83;81;440;65;361;176;29;24;55;41;35;79;9;22;3;16;8;17;14;3;13;1;25;64;79;53;68;41;116;34;22;901;5159
"Março";11;30;1;21;66;27;41;113;102;46;41;81;24;168;123;23;22;12;67;43;31;33;12;188;18;13;17;9;111;62;11;121;676;109;87;78;400;76;372;213;35;17;63;50;26;86;14;33;6;15;8;17;22;4;14;2;30;66;100;79;71;47;145;36;7;1039;5731
"Abril";13;27;5;24;70;26;39;93;102;48;45;71;27;158;95;28;18;17;60;43;37;37;16;192;16;23;18;11;112;54;17;173;724;96;95;89;493;92;470;233;36;15;65;42;39;85;10;34;5;8;16;10;29;11;22;-;29;67;124;90;61;41;122;43;8;1067;6086
"Maio";20;44;4;34;54;24;38;110;109;51;72;71;30;166;85;27;25;10;73;37;41;39;17;235;12;11;21;18;126;50;10;178;843;84;109;114;535;86;569;282;31;20;71;51;40;99;8;37;6;5;15;11;22;5;25;1;27;77;111;86;62;36;149;33;11;1212;6715
"Junho";14;30;3;43;63;24;32;84;92;49;53;60;28;154;104;22;18;9;58;46;37;24;7;189;15;16;14;10;117;61;12;182;818;116;93;137;478;99;530;251;20;23;62;50;38;107;5;27;12;5;8;15;40;11;21;3;12;72;103;82;72;42;134;43;26;1159;6384
"Julho";18;32;4;40;66;26;32;78;95;54;65;66;31;141;98;25;20;13;70;45;24;40;14;227;24;16;13;9;125;78;11;240;915;114;99;144;530;105;567;282;37;19;58;39;52;110;4;33;4;12;5;12;19;14;15;1;22;60;122;103;69;47;128;40;19;1150;6790
"Agosto";16;35;4;43;66;35;43;89;101;45;46;85;30;151;103;25;23;10;61;42;38;24;11;234;11;18;20;11;121;78;9;198;865;115;95;125;515;91;567;301;27;23;51;43;60;121;6;54;3;7;8;14;19;7;24;2;27;59;131;106;74;48;123;45;19;1178;6779
"Setembro";28;19;2;37;65;26;31;96;80;47;55;79;29;135;108;26;24;11;71;31;32;28;8;209;14;15;10;8;121;65;8;172;763;101;99;123;504;93;467;218;37;26;40;37;37;103;5;37;7;10;10;9;30;5;21;2;29;59;106;94;67;61;132;41;17;1111;6191
"Outubro";17;32;2;29;71;24;44;88;71;45;36;64;33;136;108;14;28;7;71;39;49;29;12;192;10;19;11;11;102;63;14;194;786;87;87;99;493;79;457;197;25;21;41;39;34;108;6;27;5;8;14;13;14;4;19;-;21;58;117;83;76;50;153;34;20;1116;6056
